id,name,schedule,accept_temporary,published_at,city,salary_mean,skills,experience,professional roles,employer,employer trusted,url
74376536,Data scientist,remote,False,2023-01-01T12:15:51+0300,Москва,175000.0,"['Python', 'PyTorch', 'Machine Learning', 'Spark', 'SQL']",От 3 до 6 лет,Аналитик,Астор,True,https://hh.ru/vacancy/74376536
74419911,Senior Machine Learning Engineer,remote,True,2022-12-30T22:53:17+0300,Тбилиси,325000.0,"['Machine Learning', 'Python', 'Scikit-learn', 'Нейронные сети', 'Алгоритмы', 'U-net', '3D U-net', 'Yolo']",От 3 до 6 лет,"Программист, разработчик",ТРТ,True,https://hh.ru/vacancy/74419911
74290436,"Machine Learning Engineer, Разработка средств автоматического распознавания чертежей",fullDay,False,2022-12-27T08:07:42+0300,Уфа,80000.0,"['Python', 'AutoCAD', 'C++', 'C/C++', 'MATLAB', 'FineReader', 'Нейронные сети', 'Нейросети', 'Machine Learning', 'VBA']",От 3 до 6 лет,"Программист, разработчик",Компания КРУС-Запад,True,https://hh.ru/vacancy/74290436
69475611,Middle+ / Senior Data Engineer,fullDay,False,2023-01-03T12:38:00+0300,Москва,200000.0,"['Python', 'ClickHouse', 'Elasticsearch', 'Data Analysis']",От 1 года до 3 лет,"Программист, разработчик",КИБЕР-РОМ,True,https://hh.ru/vacancy/69475611
70428858,Senior Machine Learning Engineer (NLP/Speech),fullDay,False,2022-12-19T09:10:55+0300,Сочи,314000.0,"['Python', 'Git', 'Английский язык', 'Atlassian Jira', 'NLP']",От 1 года до 3 лет,"Программист, разработчик",Отраслевой центр разработки и внедрения информационных систем / ОЦРВ,True,https://hh.ru/vacancy/70428858
73999078,Machine learning engineer/ разработчик машинного обучения (удаленно),remote,False,2022-12-19T13:22:24+0300,Пермь,300000.0,['machine learning'],От 3 до 6 лет,"Программист, разработчик",HR Агент,True,https://hh.ru/vacancy/73999078
71426958,Data Scientist (команда Поиска),fullDay,False,2022-12-19T16:42:19+0300,Москва,350000.0,"['Python', 'PyTorch', 'SQL', 'Machine Learning', 'Анализ данных', 'data science', 'numpy', 'scipy', 'pandas', 'lightgbm', 'pytorch', 'scikit-learn', 'neural nets', 'nlp', 'search ranking', 'recommender systems', 'a/b-experiments', 'hadoop', 'hive', 'presto', 'Mathematics']",От 3 до 6 лет,Аналитик,HeadHunter,True,https://hh.ru/vacancy/71426958
74013994,Middle/Senior Python разработчик (удаленно),remote,False,2023-01-03T17:46:20+0300,Москва,250000.0,"['Python', 'Linux', 'Flask', 'SQL', 'ClickHouse', 'Nginx', 'C/C++', 'Dash', 'Plotly', 'Machine Learning']",От 1 года до 3 лет,"Программист, разработчик",StormWall™,True,https://hh.ru/vacancy/74013994
73593909,Data Scientist,fullDay,False,2022-12-09T18:09:49+0300,Москва,300000.0,"['Python', 'Machine Learning', 'SciPy', 'PyTorch', 'Numpy']",От 3 до 6 лет,Аналитик,Ассоциация IPChain,True,https://hh.ru/vacancy/73593909
70006425,Data Scientist (Computer Vision) / Junior,fullDay,False,2022-12-12T03:30:04+0300,Владивосток,70000.0,"['Python', 'Linux', 'Computer Vision', 'Git', 'PyTorch', 'OpenCV', 'Machine Learning', 'Numpy', 'SciPy', 'Docker']",Нет опыта,Дата-сайентист,DNS Технологии,True,https://hh.ru/vacancy/70006425
73475819,Senior Machine Learning Engineer (Golang/Python/Scala) to Lisbon,flexible,False,2022-12-07T18:16:35+0300,Москва,380000.0,[],От 3 до 6 лет,"Программист, разработчик",Joom,True,https://hh.ru/vacancy/73475819
73826298,"Data Scientist, Postdoctoral Research Assistant in Biomedical Statistics and Data Analysis",fullDay,False,2022-12-14T17:33:32+0300,Москва,224000.0,"['Python', 'PyTorch', 'Data Mining', 'Computer Vision', 'Tensorflow', 'Bash', 'Machine Learning', 'Математическая статистика', 'Data Science', 'R Studio', 'R', 'Mathematical Modeling']",От 1 года до 3 лет,"Программист, разработчик",Statsenko Yauhen,False,https://hh.ru/vacancy/73826298
70163749,Data Scientist (middle/middle+),fullDay,False,2022-12-13T16:01:28+0300,Москва,300000.0,"['Python', 'Spark', 'SQL', 'Machine Learning', 'Pandas', 'Машинное обучение', 'Data Science', 'Big Data']",От 3 до 6 лет,"Программист, разработчик",Rubbles,True,https://hh.ru/vacancy/70163749
73524086,Разработчик программного обеспечения и баз данных (Data science),fullDay,False,2022-12-08T15:05:12+0300,Москва,140000.0,"['SQL', 'Python', 'R', 'dplyr', 'machine learning', 'deep learning', 'Big Data', 'hadoop', 'pytorch']",От 1 года до 3 лет,"Программист, разработчик",ГРУППА ПРОМАВТО,True,https://hh.ru/vacancy/73524086
69999884,Data Scientist (Computer Vision) / Middle,fullDay,False,2022-12-12T03:30:04+0300,Владивосток,100000.0,"['Python', 'Linux', 'Computer Vision', 'Git', 'PyTorch', 'OpenCV', 'Machine Learning', 'Numpy', 'SciPy', 'Docker']",От 1 года до 3 лет,Дата-сайентист,DNS Технологии,True,https://hh.ru/vacancy/69999884
73702799,Middle Data Scientist / Middle Machine Learning Engineer,fullDay,False,2022-12-12T11:26:22+0300,Москва,150000.0,"['Python', 'Английский язык', 'SQL', 'Математическая статистика', 'Статистика']",От 1 года до 3 лет,"Программист, разработчик",Элемент Лизинг,True,https://hh.ru/vacancy/73702799
72028556,Главный специалист (Data Scientist),fullDay,False,2022-12-07T16:30:45+0300,Москва,175000.0,"['Python', 'SQL', 'Java', 'Tensorflow', 'PyTorch', 'Machine Learning', 'ML', 'нейросеть', 'OpenCV', 'SVN', 'C++', 'Linux', 'Spring Framework', 'Hibernate', 'MongoDB', 'BerkeleyDB', 'Java 8+ (Core, Collections, Stream API, Multithreading)']",От 3 до 6 лет,"Программист, разработчик",ФЦНИВТ СНПО Элерон,True,https://hh.ru/vacancy/72028556
72323871,"Data Scientist (СV, NLP)",fullDay,False,2023-01-01T21:55:08+0300,Москва,200000.0,"['Python', 'PyTorch', 'Machine Learning', 'Computer Vision', 'Keras', 'NLP']",От 1 года до 3 лет,"Программист, разработчик",MillionAgents,True,https://hh.ru/vacancy/72323871
74092229,Инженер DevOps,fullDay,False,2023-01-02T13:15:30+0300,Тольятти,150000.0,"['Linux', 'PostgreSQL', 'SCALA', 'SQL', 'Java']",От 1 года до 3 лет,Системный инженер,Квартплата 24,True,https://hh.ru/vacancy/74092229
73892205,Программист (компьютерное зрение / OpenCV),fullDay,False,2023-01-03T11:05:36+0300,Пермь,175000.0,"['C++', 'C#', 'ОpenCV', 'Machine learning', 'Git']",От 1 года до 3 лет,"Программист, разработчик",Випакс+,True,https://hh.ru/vacancy/73892205
74092299,Scala / Java Developer (senior),fullDay,False,2023-01-02T13:16:06+0300,Тольятти,250000.0,[],От 3 до 6 лет,"Программист, разработчик",Квартплата 24,True,https://hh.ru/vacancy/74092299
